iter	Passed	Remaining
0	0	592
1	1	557
2	1	463
3	1	411
4	1	382
5	2	364
6	2	347
7	2	335
8	2	325
9	3	316
10	3	309
11	3	311
12	4	308
13	4	304
14	4	300
15	4	296
16	5	293
17	5	290
18	5	287
19	5	286
20	6	283
21	6	282
22	6	280
23	6	279
24	7	277
25	7	275
26	7	274
27	7	273
28	8	272
29	8	271
30	8	281
31	9	279
32	9	278
33	9	277
34	10	276
35	10	275
36	10	274
37	10	273
38	11	272
39	11	270
40	11	270
41	11	269
42	12	268
43	12	270
44	12	273
45	13	272
46	13	272
47	13	271
48	13	270
49	14	269
50	14	267
51	14	265
52	14	264
53	15	263
54	15	262
55	15	261
56	15	259
57	15	259
58	16	258
59	16	257
60	16	256
61	16	254
62	17	253
63	17	252
64	17	251
65	17	250
66	17	249
67	18	248
68	18	247
69	18	246
70	18	245
71	18	244
72	19	243
73	19	242
74	19	241
75	19	240
76	19	239
77	20	238
78	20	237
79	20	237
80	20	236
81	21	235
82	21	233
83	21	233
84	21	232
85	21	231
86	21	230
87	22	231
88	22	231
89	22	231
90	23	230
91	23	230
92	23	230
93	23	230
94	24	230
95	24	230
96	24	230
97	24	229
98	25	229
99	25	229
100	25	228
101	25	228
102	26	228
103	26	227
104	26	227
105	26	227
106	27	228
107	27	228
108	27	228
109	28	228
110	28	227
111	28	227
112	28	227
113	29	226
114	29	226
115	29	225
116	29	225
117	30	225
118	30	224
119	30	224
120	30	224
121	31	223
122	31	222
123	31	222
124	31	222
125	32	222
126	32	221
127	32	221
128	32	221
129	32	220
130	33	220
131	33	220
132	33	220
133	34	220
134	34	219
135	34	219
136	34	219
137	35	218
138	35	218
139	35	218
140	35	217
141	35	216
142	36	216
143	36	216
144	36	215
145	36	215
146	37	215
147	37	215
148	37	214
149	37	214
150	38	214
151	38	213
152	38	213
153	38	213
154	39	212
155	39	212
156	39	212
157	39	211
158	40	211
159	40	211
160	40	210
161	40	210
162	40	210
163	41	210
164	41	209
165	41	209
166	41	209
167	42	209
168	42	208
169	42	208
170	43	208
171	43	208
172	43	207
173	43	207
174	43	207
175	44	207
176	44	206
177	44	206
178	44	206
179	45	205
180	45	205
181	45	205
182	45	205
183	46	204
184	46	204
185	46	204
186	46	203
187	47	203
188	47	203
189	47	203
190	47	202
191	48	202
192	48	202
193	48	201
194	48	201
195	49	201
196	49	201
197	49	200
198	49	200
199	50	200
200	50	199
201	50	199
202	50	199
203	51	199
204	51	198
205	51	198
206	51	198
207	51	197
208	52	197
209	52	197
210	52	197
211	52	196
212	53	196
213	53	196
214	53	195
215	53	195
216	54	195
217	54	195
218	54	194
219	54	194
220	55	194
221	55	194
222	55	193
223	55	193
224	56	193
225	56	193
226	56	192
227	56	192
228	57	192
229	57	192
230	57	191
231	57	191
232	58	191
233	58	191
234	58	191
235	58	190
236	59	190
237	59	190
238	59	190
239	60	190
240	60	190
241	60	189
242	60	189
243	61	189
244	61	189
245	61	189
246	61	188
247	62	188
248	62	188
249	62	188
250	62	187
251	63	187
252	63	187
253	63	187
254	63	186
255	64	186
256	64	186
257	64	186
258	65	186
259	65	185
260	65	185
261	65	185
262	66	185
263	66	185
264	66	184
265	66	184
266	67	184
267	67	184
268	67	183
269	67	183
270	68	183
271	68	183
272	68	183
273	69	182
274	69	182
275	69	182
276	69	182
277	70	181
278	70	181
279	70	181
280	70	181
281	71	181
282	71	180
283	71	180
284	71	180
285	72	180
286	72	179
287	72	179
288	72	179
289	73	179
290	73	179
291	73	178
292	74	178
293	74	178
294	74	178
295	74	177
296	75	177
297	75	177
298	75	177
299	75	177
300	76	176
301	76	176
302	76	176
303	76	176
304	77	175
305	77	176
306	77	175
307	78	175
308	78	175
309	78	175
310	79	175
311	79	174
312	79	174
313	79	174
314	80	174
315	80	174
316	80	173
317	80	173
318	81	173
319	81	173
320	81	173
321	82	172
322	82	172
323	82	172
324	82	172
325	83	172
326	83	171
327	83	171
328	84	171
329	84	171
330	84	171
331	84	170
332	85	171
333	85	171
334	86	170
335	86	170
336	86	170
337	86	170
338	87	169
339	87	169
340	87	169
341	87	169
342	88	168
343	88	168
344	88	168
345	89	168
346	89	168
347	89	168
348	90	167
349	90	167
350	90	167
351	90	167
352	91	166
353	91	166
354	91	166
355	91	166
356	92	165
357	92	165
358	92	165
359	92	165
360	93	166
361	94	166
362	94	165
363	94	165
364	95	165
365	95	165
366	95	164
367	95	164
368	96	164
369	96	164
370	97	164
371	97	164
372	97	163
373	97	163
374	98	163
375	98	163
376	98	162
377	98	162
378	99	162
379	99	162
380	99	162
381	100	161
382	100	161
383	100	161
384	100	161
385	101	160
386	101	160
387	101	160
388	102	160
389	102	159
390	102	159
391	102	159
392	103	159
393	103	158
394	103	158
395	103	158
396	104	158
397	104	157
398	104	157
399	104	157
400	105	157
401	105	156
402	105	156
403	106	157
404	106	156
405	107	156
406	107	156
407	107	156
408	107	155
409	108	155
410	108	155
411	108	154
412	108	154
413	109	154
414	109	154
415	109	153
416	109	153
417	110	153
418	110	153
419	110	153
420	111	152
421	111	152
422	111	152
423	111	152
424	112	151
425	112	151
426	112	151
427	112	150
428	113	150
429	113	151
430	114	150
431	114	150
432	114	150
433	115	150
434	115	149
435	115	149
436	115	149
437	116	149
438	116	148
439	116	148
440	117	148
441	117	148
442	117	147
443	117	147
444	118	147
445	118	147
446	118	146
447	119	146
448	119	146
449	119	146
450	119	145
451	120	145
452	120	145
453	120	145
454	121	144
455	121	144
456	121	144
457	121	144
458	122	143
459	122	143
460	122	143
461	122	143
462	123	143
463	123	142
464	124	142
465	124	142
466	124	142
467	124	141
468	125	141
469	125	141
470	125	141
471	126	141
472	126	140
473	126	140
474	126	140
475	127	139
476	127	139
477	127	139
478	127	139
479	128	138
480	128	138
481	128	138
482	129	138
483	129	138
484	129	137
485	130	137
486	130	137
487	130	137
488	130	136
489	131	136
490	131	136
491	131	136
492	132	135
493	132	135
494	132	135
495	132	135
496	133	135
497	133	135
498	134	134
499	134	134
500	135	134
501	135	134
502	135	134
503	136	133
504	136	133
505	136	133
506	137	133
507	137	132
508	137	132
509	137	132
510	138	132
511	138	131
512	138	131
513	138	131
514	139	131
515	139	130
516	139	130
517	139	130
518	140	129
519	140	129
520	140	129
521	141	129
522	142	129
523	142	129
524	142	129
525	142	128
526	143	128
527	143	128
528	143	127
529	143	127
530	144	127
531	144	127
532	144	126
533	144	126
534	145	126
535	145	125
536	145	125
537	146	125
538	146	125
539	147	125
540	147	125
541	147	124
542	148	124
543	148	124
544	148	124
545	149	123
546	149	123
547	149	123
548	149	123
549	150	122
550	150	122
551	150	122
552	150	121
553	151	121
554	151	121
555	151	121
556	151	120
557	152	120
558	152	120
559	152	120
560	153	119
561	153	119
562	153	119
563	153	118
564	154	118
565	154	118
566	154	118
567	154	117
568	155	117
569	155	117
570	155	116
571	155	116
572	156	116
573	156	116
574	156	115
575	157	115
576	157	115
577	157	115
578	157	114
579	158	114
580	158	114
581	158	113
582	158	113
583	159	113
584	159	113
585	159	112
586	159	112
587	160	112
588	160	111
589	160	111
590	160	111
591	161	111
592	162	111
593	162	110
594	162	110
595	162	110
596	163	110
597	163	109
598	163	109
599	164	109
600	164	109
601	164	108
602	165	108
603	165	108
604	165	108
605	166	107
606	166	107
607	166	107
608	166	107
609	167	106
610	167	106
611	167	106
612	167	105
613	168	105
614	168	105
615	168	105
616	168	104
617	169	104
618	169	104
619	169	104
620	169	103
621	170	103
622	170	103
623	170	102
624	170	102
625	171	102
626	171	102
627	171	101
628	172	101
629	172	101
630	172	100
631	172	100
632	173	100
633	173	100
634	173	99
635	173	99
636	174	99
637	174	98
638	174	98
639	174	98
640	175	98
641	175	98
642	176	97
643	176	97
644	176	97
645	177	97
646	178	97
647	178	97
648	178	96
649	179	96
650	179	96
651	179	95
652	180	95
653	180	95
654	180	95
655	180	94
656	181	94
657	181	94
658	181	94
659	182	93
660	182	93
661	182	93
662	182	93
663	183	92
664	183	92
665	184	92
666	184	92
667	184	91
668	184	91
669	185	91
670	185	91
671	185	90
672	186	90
673	186	90
674	186	89
675	187	89
676	187	89
677	187	89
678	187	88
679	188	88
680	188	88
681	188	88
682	189	87
683	189	87
684	189	87
685	189	86
686	190	86
687	190	86
688	190	86
689	190	85
690	191	85
691	191	85
692	191	84
693	192	84
694	192	84
695	193	84
696	193	84
697	193	83
698	194	83
699	194	83
700	194	83
701	194	82
702	195	82
703	195	82
704	195	81
705	196	81
706	196	81
707	196	81
708	197	80
709	197	80
710	197	80
711	197	80
712	198	79
713	198	79
714	198	79
715	199	78
716	199	78
717	199	78
718	199	78
719	200	77
720	200	77
721	200	77
722	201	77
723	201	76
724	201	76
725	201	76
726	202	75
727	202	75
728	202	75
729	203	75
730	203	74
731	203	74
732	203	74
733	204	74
734	204	73
735	204	73
736	205	73
737	205	72
738	205	72
739	206	72
740	206	72
741	206	71
742	207	71
743	207	71
744	207	71
745	208	70
746	208	70
747	208	70
748	208	69
749	209	69
750	209	69
751	209	69
752	209	68
753	210	68
754	210	68
755	210	68
756	210	67
757	211	67
758	211	67
759	211	66
760	212	66
761	212	66
762	212	66
763	213	65
764	213	65
765	213	65
766	213	65
767	214	64
768	214	64
769	214	64
770	215	63
771	215	63
772	215	63
773	215	63
774	216	62
775	216	62
776	216	62
777	217	61
778	217	61
779	217	61
780	217	61
781	218	60
782	218	60
783	218	60
784	219	60
785	219	59
786	219	59
787	220	59
788	220	58
789	220	58
790	221	58
791	221	58
792	222	57
793	222	57
794	222	57
795	222	57
796	223	56
797	223	56
798	223	56
799	223	55
800	224	55
801	224	55
802	224	55
803	225	54
804	225	54
805	226	54
806	226	54
807	226	53
808	226	53
809	227	53
810	227	53
811	227	52
812	228	52
813	228	52
814	228	51
815	229	51
816	229	51
817	229	51
818	229	50
819	230	50
820	230	50
821	231	50
822	231	49
823	231	49
824	231	49
825	232	48
826	232	48
827	232	48
828	234	48
829	234	48
830	235	47
831	235	47
832	236	47
833	236	47
834	236	46
835	237	46
836	237	46
837	238	46
838	238	45
839	238	45
840	239	45
841	239	44
842	239	44
843	240	44
844	240	44
845	240	43
846	241	43
847	241	43
848	241	43
849	242	42
850	242	42
851	242	42
852	242	41
853	243	41
854	243	41
855	243	41
856	244	40
857	244	40
858	244	40
859	244	39
860	245	39
861	245	39
862	245	39
863	246	38
864	246	38
865	246	38
866	246	37
867	247	37
868	247	37
869	247	37
870	247	36
871	248	36
872	248	36
873	248	35
874	249	35
875	249	35
876	249	35
877	250	34
878	250	34
879	250	34
880	251	33
881	251	33
882	251	33
883	252	33
884	252	32
885	252	32
886	252	32
887	253	31
888	253	31
889	253	31
890	254	31
891	254	30
892	254	30
893	255	30
894	255	29
895	255	29
896	255	29
897	256	29
898	256	28
899	256	28
900	257	28
901	257	27
902	257	27
903	257	27
904	258	27
905	258	26
906	258	26
907	259	26
908	259	25
909	259	25
910	259	25
911	260	25
912	260	24
913	260	24
914	260	24
915	261	23
916	261	23
917	261	23
918	262	23
919	262	22
920	262	22
921	262	22
922	263	21
923	263	21
924	263	21
925	263	21
926	264	20
927	264	20
928	264	20
929	264	19
930	265	19
931	265	19
932	265	19
933	266	18
934	266	18
935	267	18
936	267	17
937	267	17
938	268	17
939	268	17
940	268	16
941	269	16
942	269	16
943	269	16
944	270	15
945	270	15
946	270	15
947	270	14
948	271	14
949	271	14
950	271	14
951	272	13
952	272	13
953	272	13
954	272	12
955	273	12
956	273	12
957	273	12
958	274	11
959	274	11
960	274	11
961	274	10
962	275	10
963	275	10
964	275	9
965	275	9
966	276	9
967	276	9
968	276	8
969	277	8
970	277	8
971	278	8
972	278	7
973	278	7
974	278	7
975	279	6
976	279	6
977	279	6
978	279	6
979	280	5
980	280	5
981	280	5
982	281	4
983	281	4
984	281	4
985	281	4
986	282	3
987	282	3
988	283	3
989	283	2
990	283	2
991	283	2
992	284	2
993	284	1
994	284	1
995	285	1
996	285	0
997	285	0
998	286	0
999	286	0
